"Kennziffer","Einheit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Bevölkerung insgesamt","","493208","493052","494795","497531","498491","502651","506578","510512","515469","518862","522883","510043","520838","531562","544479","560472","571088","581980","587857","593145","597493","601866","0"
"Männer","","237986","238175","239154","240878","240818","243125","245017","247282","250018","251748","253533","245137","251491","257445","264914","274414","280292","285777","288553","291450","293522","296110","0"
"Frauen","","255222","254877","255641","256653","257673","259526","261561","263230","265451","267114","269350","264906","269347","274117","279565","286058","290796","296203","299304","301695","303971","305756","0"
"Deutsche","","466069","463959","463717","465230","467644","470903","474597","477724","481941","486564","492686","487244","495062","502719","511069","518473","523565","529804","533218","535813","537773","537982","0"
"Männer","","219912","219207","219377","220637","222198","224174","226368","228329","230729","233397","236809","232954","237401","241647","246416","250522","253236","256245","257964","259368","260198","260402","0"
"Frauen","","246157","244752","244340","244593","245446","246729","248229","249395","251212","253167","255877","254290","257661","261072","264653","267951","270329","273559","275254","276445","277575","277580","0"
"Ausländer","","27139","29093","31078","32301","30847","31748","31981","32788","33528","32298","30197","22799","25776","28843","33410","41999","47523","52176","54639","57332","59720","63884","0"
"Männer","","18074","18968","19777","20241","18620","18951","18649","18953","19289","18351","16724","12183","14090","15798","18498","23892","27056","29532","30589","32082","33324","35708","0"
"Frauen","","9065","10125","11301","12060","12227","12797","13332","13835","14239","13947","13473","10616","11686","13045","14912","18107","20467","22644","24050","25250","26396","28176","0"
"Bevölkerung insgesamt","","479996","479457","481390","484121","485643","489335","494771","497791","502401","505559","508775","517838","528540","539348","551871","567846","579530","590337","596517","601668","605407","609869","624689"
"Männer","","229893","229775","230863","232492","232778","234727","237490","239241","241824","243484","244883","250013","256272","262336","269544","279052","285870","291180","294231","297064","298822","301417","308433"
"Frauen","","250103","249682","250527","251629","252865","254608","257281","258550","260577","262075","263892","267825","272268","277012","282327","288794","293660","299157","302286","304604","306585","308452","316256"
"Deutsche","","457899","455911","455863","457396","460240","462909","467888","470141","474224","478591","483894","491166","498881","506494","514480","521817","527669","534326","537896","540498","542118","542284","541121"
"Männer","","214911","214257","214529","215729","217547","219114","222032","223525","225909","228490","231490","235546","239899","244127","248645","252723","256072","259303","261154","262618","263304","263453","263153"
"Frauen","","242988","241654","241334","241667","242693","243795","245856","246616","248315","250101","252404","255620","258982","262367","265835","269094","271597","275023","276742","277880","278814","278831","277968"
"Ausländer","","22097","23546","25527","26725","25403","26426","26883","27650","28177","26968","24881","26672","29659","32854","37391","46029","51861","56011","58621","61170","63289","67585","83568"
"Männer","","14982","15518","16334","16763","15231","15613","15458","15716","15915","14994","13393","14467","16373","18209","20899","26329","29798","31877","33077","34446","35518","37964","45280"
"Frauen","","7115","8028","9193","9962","10172","10813","11425","11934","12262","11974","11488","12205","13286","14645","16492","19700","22063","24134","25544","26724","27771","29621","38288"
"Einwohner mit Migrationshintergrund","","0","0","0","0","0","0","0","0","0","0","42094","45117","49323","53776","59738","69988","77559","83406","87889","92921","96719","102671","120203"
"Männer","","0","0","0","0","0","0","0","0","0","0","21817","23527","26156","28630","32037","38263","42635","45573","47685","50293","52200","55532","63654"
"Frauen","","0","0","0","0","0","0","0","0","0","0","20277","21590","23167","25146","27701","31725","34924","37833","40204","42628","44519","47139","56549"
"Einwohner mit Nebenwohnsitz","","38186","39963","40683","41040","41818","38821","25742","17670","17258","16358","15385","11705","10838","10051","9144","9091","9091","5615","5220","5291","5503","5670","5507"
